temp_x_1,temp_x_2,temp_x_3,temp_x_4,temp_x_5,temp_x_6,temp_x_7,temp_x_8
0.025,0.271,0.46,0.363,0.289,0.633,0.619,0.788
0.034,0.271,0.421,0.38,0.284,0.61,0.634,0.784
0.043,0.271,0.383,0.396,0.279,0.588,0.649,0.786
0.052,0.271,0.345,0.412,0.274,0.566,0.663,0.788
0.066,0.282,0.313,0.435,0.282,0.542,0.672,0.785
0.065,0.313,0.315,0.453,0.316,0.542,0.665,0.791
0.064,0.346,0.317,0.471,0.351,0.54,0.651,0.786
0.063,0.378,0.32,0.488,0.384,0.537,0.639,0.788
0.064,0.41,0.322,0.505,0.417,0.535,0.627,0.788
0.066,0.443,0.325,0.522,0.451,0.532,0.618,0.789
0.075,0.481,0.324,0.545,0.489,0.526,0.615,0.789
0.085,0.513,0.328,0.563,0.521,0.522,0.613,0.788
0.099,0.544,0.339,0.579,0.553,0.518,0.607,0.79
0.115,0.574,0.352,0.593,0.583,0.516,0.598,0.786
0.134,0.604,0.372,0.605,0.613,0.515,0.587,0.789
0.157,0.631,0.391,0.615,0.636,0.51,0.569,0.788
0.181,0.656,0.413,0.624,0.66,0.509,0.555,0.786
0.207,0.68,0.434,0.634,0.683,0.505,0.54,0.782
0.234,0.703,0.456,0.643,0.704,0.501,0.523,0.784
0.261,0.726,0.477,0.651,0.725,0.497,0.505,0.788
0.291,0.749,0.492,0.661,0.745,0.488,0.487,0.781
0.32,0.772,0.508,0.672,0.764,0.48,0.469,0.788
0.353,0.794,0.519,0.684,0.783,0.468,0.453,0.783
0.387,0.815,0.528,0.696,0.8,0.455,0.436,0.788
0.42,0.836,0.539,0.707,0.817,0.443,0.418,0.785
0.455,0.855,0.549,0.718,0.832,0.431,0.398,0.792
0.489,0.873,0.562,0.727,0.846,0.42,0.378,0.783
0.524,0.89,0.575,0.735,0.859,0.409,0.356,0.788
0.564,0.908,0.594,0.741,0.872,0.399,0.329,0.788
0.606,0.921,0.618,0.744,0.881,0.391,0.301,0.792
0.637,0.929,0.657,0.737,0.888,0.396,0.269,0.79
0.659,0.935,0.691,0.729,0.893,0.403,0.242,0.788
0.678,0.942,0.726,0.721,0.9,0.411,0.214,0.789
0.703,0.951,0.756,0.717,0.908,0.413,0.185,0.784
0.747,0.957,0.762,0.723,0.908,0.399,0.168,0.783
0.786,0.958,0.741,0.736,0.902,0.377,0.17,0.784
0.825,0.96,0.715,0.753,0.898,0.351,0.173,0.786
0.86,0.962,0.687,0.768,0.894,0.326,0.177,0.792
0.874,0.961,0.729,0.753,0.895,0.344,0.159,0.788
0.906,0.95,0.715,0.758,0.881,0.336,0.182,0.754
0.918,0.951,0.704,0.764,0.879,0.327,0.184,0.701
0.924,0.951,0.706,0.764,0.879,0.326,0.182,0.645
0.93,0.951,0.705,0.765,0.878,0.324,0.181,0.584
0.944,0.951,0.706,0.766,0.877,0.32,0.177,0.502
0.951,0.951,0.707,0.766,0.876,0.318,0.174,0.452
0.959,0.95,0.707,0.767,0.874,0.316,0.173,0.398
0.963,0.949,0.705,0.767,0.873,0.316,0.173,0.347
0.968,0.933,0.709,0.76,0.858,0.321,0.184,0.289
0.973,0.907,0.719,0.747,0.835,0.332,0.2,0.252
0.976,0.892,0.722,0.741,0.821,0.337,0.211,0.199
0.982,0.876,0.721,0.736,0.806,0.339,0.224,0.153
0.989,0.853,0.725,0.726,0.784,0.347,0.24,0.104
0.992,0.837,0.729,0.718,0.77,0.352,0.251,0.044
0.995,0.812,0.728,0.71,0.747,0.357,0.271,0.013
0.993,0.785,0.721,0.702,0.722,0.362,0.297,0.037
0.985,0.784,0.724,0.7,0.724,0.367,0.301,0.094
0.974,0.787,0.735,0.696,0.729,0.374,0.295,0.157
0.964,0.788,0.748,0.69,0.732,0.383,0.289,0.212
0.957,0.788,0.757,0.686,0.734,0.39,0.286,0.29
0.949,0.788,0.768,0.68,0.735,0.397,0.283,0.359
0.939,0.788,0.779,0.675,0.737,0.406,0.279,0.424
0.923,0.788,0.799,0.665,0.74,0.42,0.271,0.462
0.917,0.788,0.806,0.661,0.741,0.425,0.269,0.544
0.905,0.787,0.821,0.654,0.743,0.435,0.264,0.652
0.879,0.788,0.852,0.638,0.749,0.458,0.252,0.652
0.878,0.788,0.853,0.638,0.749,0.459,0.251,0.724
0.853,0.789,0.882,0.624,0.755,0.479,0.24,0.744
0.826,0.792,0.911,0.61,0.763,0.5,0.226,0.749
0.797,0.796,0.94,0.597,0.771,0.521,0.213,0.749
0.766,0.802,0.967,0.584,0.782,0.541,0.198,0.746
0.731,0.809,0.99,0.573,0.794,0.559,0.185,0.75
0.69,0.821,0.997,0.569,0.808,0.569,0.167,0.75
0.67,0.836,0.963,0.585,0.822,0.553,0.168,0.748
0.666,0.847,0.925,0.605,0.83,0.533,0.178,0.743
0.667,0.856,0.887,0.623,0.835,0.512,0.191,0.746
0.672,0.865,0.847,0.643,0.84,0.49,0.204,0.744
0.68,0.875,0.802,0.666,0.844,0.464,0.22,0.745
0.689,0.883,0.761,0.687,0.849,0.44,0.234,0.752
0.704,0.89,0.726,0.706,0.851,0.416,0.246,0.752
0.731,0.9,0.695,0.726,0.856,0.391,0.252,0.751
0.767,0.917,0.682,0.743,0.868,0.37,0.243,0.749
0.813,0.924,0.692,0.748,0.87,0.358,0.224,0.749
0.861,0.924,0.707,0.748,0.866,0.351,0.21,0.752
0.903,0.928,0.694,0.759,0.864,0.331,0.204,0.751
0.92,0.929,0.684,0.764,0.862,0.322,0.203,0.534
0.922,0.929,0.686,0.763,0.862,0.323,0.201,0.612
0.922,0.929,0.691,0.762,0.864,0.326,0.199,0.723
0.916,0.932,0.708,0.755,0.868,0.335,0.19,0.6
0.912,0.932,0.716,0.752,0.869,0.34,0.186,0.691
0.913,0.932,0.72,0.751,0.869,0.342,0.184,0.743
0.914,0.934,0.717,0.752,0.87,0.339,0.184,0.693
0.925,0.936,0.702,0.76,0.87,0.328,0.188,0.635
0.931,0.937,0.692,0.765,0.87,0.321,0.19,0.586
0.94,0.94,0.678,0.773,0.87,0.311,0.192,0.525
0.945,0.942,0.664,0.78,0.871,0.302,0.197,0.476
0.952,0.943,0.64,0.79,0.869,0.288,0.207,0.434
0.958,0.944,0.613,0.802,0.867,0.272,0.217,0.393
0.961,0.951,0.583,0.817,0.871,0.254,0.224,0.362
0.963,0.963,0.546,0.836,0.879,0.231,0.232,0.362
0.969,0.969,0.509,0.853,0.881,0.21,0.246,0.351
0.973,0.97,0.484,0.864,0.88,0.196,0.257,0.311
0.977,0.974,0.449,0.879,0.881,0.176,0.269,0.287
0.98,0.982,0.416,0.894,0.886,0.158,0.28,0.258
0.986,0.983,0.376,0.91,0.883,0.137,0.297,0.25
0.991,0.982,0.35,0.921,0.881,0.123,0.31,0.21
0.996,0.982,0.318,0.933,0.877,0.105,0.327,0.177
0.999,0.981,0.289,0.944,0.874,0.091,0.341,0.143
0.995,0.976,0.257,0.951,0.869,0.083,0.361,0.189
0.993,0.963,0.237,0.953,0.856,0.078,0.384,0.224
0.991,0.948,0.213,0.957,0.841,0.071,0.41,0.251
0.994,0.922,0.197,0.954,0.815,0.069,0.438,0.235
0.994,0.895,0.194,0.945,0.79,0.074,0.46,0.209
0.987,0.886,0.182,0.945,0.78,0.073,0.475,0.258
0.985,0.872,0.168,0.945,0.767,0.07,0.493,0.299
0.978,0.866,0.174,0.94,0.762,0.077,0.496,0.353
0.968,0.865,0.187,0.933,0.763,0.087,0.492,0.44
0.949,0.865,0.215,0.921,0.768,0.106,0.481,0.529
0.936,0.867,0.235,0.912,0.772,0.121,0.472,0.652
0.921,0.869,0.26,0.902,0.778,0.136,0.459,0.717
0.898,0.875,0.299,0.886,0.789,0.161,0.438,0.735
0.882,0.88,0.328,0.875,0.797,0.18,0.422,0.762
0.863,0.885,0.362,0.861,0.807,0.201,0.404,0.764
0.841,0.892,0.401,0.846,0.818,0.225,0.384,0.758
0.816,0.899,0.442,0.83,0.831,0.252,0.363,0.762
0.792,0.905,0.481,0.814,0.842,0.277,0.344,0.76
0.771,0.91,0.513,0.8,0.852,0.298,0.327,0.76
0.748,0.924,0.54,0.792,0.869,0.316,0.308,0.755
0.757,0.949,0.513,0.814,0.89,0.292,0.304,0.757
0.779,0.964,0.486,0.833,0.9,0.267,0.302,0.761
0.817,0.978,0.479,0.846,0.908,0.247,0.286,0.763
0.844,0.979,0.512,0.837,0.908,0.255,0.263,0.758
0.88,0.981,0.536,0.833,0.907,0.253,0.239,0.762
0.918,0.984,0.536,0.838,0.904,0.24,0.227,0.718
0.946,0.985,0.517,0.848,0.901,0.222,0.228,0.556
0.946,0.985,0.516,0.849,0.9,0.222,0.228,0.503
0.946,0.985,0.518,0.848,0.901,0.223,0.227,0.565
0.946,0.985,0.519,0.848,0.901,0.224,0.227,0.629
0.945,0.986,0.52,0.848,0.902,0.224,0.226,0.541
0.946,0.986,0.519,0.848,0.901,0.223,0.227,0.606
0.947,0.985,0.517,0.849,0.901,0.222,0.227,0.539
0.958,0.974,0.505,0.85,0.888,0.218,0.245,0.499
0.962,0.965,0.5,0.849,0.879,0.217,0.255,0.45
0.969,0.949,0.496,0.846,0.863,0.218,0.27,0.408
0.973,0.936,0.498,0.841,0.851,0.221,0.278,0.361
0.976,0.916,0.507,0.831,0.833,0.23,0.289,0.322
0.977,0.887,0.519,0.815,0.807,0.244,0.307,0.31
0.977,0.858,0.531,0.799,0.781,0.258,0.324,0.298
0.969,0.85,0.537,0.793,0.776,0.265,0.328,0.363
0.962,0.851,0.535,0.793,0.777,0.266,0.329,0.424
0.951,0.85,0.534,0.791,0.777,0.27,0.331,0.495
0.945,0.85,0.534,0.79,0.778,0.272,0.333,0.566
0.928,0.849,0.534,0.788,0.778,0.277,0.337,0.646
0.919,0.848,0.534,0.787,0.778,0.28,0.339,0.701
0.902,0.844,0.529,0.785,0.776,0.284,0.348,0.755
0.871,0.826,0.518,0.778,0.762,0.293,0.374,0.766
0.837,0.804,0.523,0.763,0.746,0.311,0.392,0.762
0.802,0.788,0.536,0.747,0.735,0.332,0.402,0.762
0.768,0.772,0.555,0.728,0.725,0.356,0.408,0.762
0.748,0.753,0.58,0.708,0.711,0.379,0.411,0.762
0.736,0.731,0.606,0.686,0.694,0.4,0.413,0.76
0.735,0.701,0.624,0.667,0.668,0.415,0.422,0.76
0.742,0.669,0.632,0.651,0.638,0.423,0.437,0.766
0.754,0.652,0.666,0.632,0.623,0.44,0.431,0.762
0.796,0.645,0.688,0.627,0.615,0.44,0.423,0.767
0.842,0.645,0.682,0.636,0.611,0.424,0.423,0.762
0.89,0.645,0.681,0.643,0.607,0.411,0.421,0.767
0.918,0.646,0.686,0.645,0.605,0.405,0.416,0.688
0.922,0.646,0.687,0.645,0.605,0.405,0.415,0.582
0.928,0.646,0.691,0.644,0.605,0.406,0.412,0.635
0.935,0.646,0.694,0.644,0.605,0.405,0.411,0.477
0.935,0.646,0.694,0.644,0.605,0.405,0.411,0.529
0.935,0.646,0.693,0.644,0.604,0.405,0.411,0.586
0.936,0.644,0.692,0.644,0.603,0.404,0.413,0.495
0.937,0.643,0.692,0.643,0.602,0.405,0.413,0.546
0.94,0.635,0.69,0.641,0.594,0.404,0.42,0.493
0.947,0.61,0.69,0.631,0.57,0.408,0.437,0.452
0.951,0.588,0.69,0.622,0.55,0.412,0.452,0.413
0.955,0.563,0.692,0.61,0.527,0.417,0.468,0.365
0.96,0.536,0.69,0.599,0.502,0.421,0.488,0.341
0.952,0.512,0.698,0.584,0.481,0.432,0.5,0.373
0.943,0.51,0.708,0.578,0.481,0.44,0.497,0.485
0.935,0.507,0.717,0.573,0.48,0.447,0.495,0.535
0.915,0.504,0.739,0.56,0.48,0.464,0.488,0.606
0.905,0.503,0.751,0.553,0.481,0.472,0.483,0.702
0.89,0.503,0.77,0.544,0.484,0.486,0.475,0.742
0.865,0.503,0.799,0.529,0.489,0.506,0.463,0.758
0.851,0.508,0.758,0.546,0.491,0.486,0.469,0.761
0.859,0.514,0.718,0.565,0.492,0.462,0.48,0.763
0.856,0.543,0.701,0.585,0.517,0.448,0.467,0.764
0.862,0.572,0.686,0.605,0.542,0.432,0.455,0.766
0.89,0.578,0.658,0.622,0.543,0.409,0.462,0.764
0.914,0.579,0.638,0.633,0.54,0.393,0.47,0.679
0.919,0.579,0.636,0.635,0.539,0.391,0.471,0.749
0.923,0.579,0.639,0.634,0.54,0.392,0.469,0.655
0.922,0.579,0.644,0.632,0.54,0.394,0.467,0.714
0.923,0.579,0.644,0.633,0.54,0.394,0.467,0.659
0.928,0.58,0.642,0.634,0.54,0.392,0.468,0.604
0.94,0.58,0.626,0.642,0.538,0.38,0.474,0.56
0.948,0.582,0.615,0.648,0.538,0.372,0.477,0.505
0.956,0.583,0.599,0.656,0.537,0.362,0.483,0.446
0.962,0.584,0.584,0.663,0.536,0.352,0.488,0.4
0.967,0.586,0.562,0.672,0.535,0.339,0.496,0.355
0.972,0.591,0.534,0.686,0.537,0.322,0.504,0.321
0.975,0.593,0.515,0.695,0.537,0.311,0.51,0.278
0.981,0.598,0.479,0.711,0.537,0.289,0.52,0.26
0.986,0.602,0.448,0.726,0.538,0.27,0.526,0.227
0.99,0.607,0.41,0.743,0.54,0.246,0.529,0.214
0.992,0.615,0.371,0.762,0.543,0.22,0.528,0.226
0.996,0.622,0.333,0.78,0.547,0.193,0.526,0.226
0.999,0.628,0.3,0.795,0.549,0.172,0.524,0.195
0.999,0.63,0.281,0.802,0.55,0.162,0.526,0.148
0.998,0.631,0.238,0.812,0.549,0.147,0.535,0.164
1,0.633,0.194,0.828,0.548,0.126,0.545,0.16
1,0.637,0.164,0.839,0.55,0.109,0.545,0.201
0.995,0.644,0.13,0.852,0.554,0.091,0.541,0.246
0.995,0.65,0.111,0.861,0.559,0.077,0.533,0.289
0.986,0.647,0.121,0.855,0.557,0.085,0.532,0.354
0.979,0.641,0.133,0.848,0.554,0.095,0.532,0.402
0.975,0.639,0.138,0.844,0.553,0.099,0.532,0.452
0.963,0.63,0.158,0.831,0.547,0.115,0.53,0.489
0.959,0.626,0.165,0.826,0.545,0.121,0.529,0.542
0.949,0.619,0.182,0.815,0.54,0.134,0.526,0.617
0.937,0.61,0.2,0.802,0.534,0.149,0.523,0.677
0.92,0.595,0.229,0.782,0.525,0.173,0.518,0.709
0.907,0.586,0.249,0.768,0.518,0.189,0.514,0.747
0.889,0.571,0.277,0.747,0.51,0.213,0.507,0.756
0.867,0.555,0.31,0.723,0.499,0.24,0.5,0.759
0.847,0.541,0.341,0.701,0.491,0.264,0.493,0.756
0.822,0.526,0.376,0.677,0.482,0.292,0.485,0.757
0.795,0.51,0.415,0.651,0.473,0.322,0.475,0.76
0.768,0.496,0.451,0.626,0.465,0.35,0.465,0.757
0.746,0.484,0.482,0.606,0.459,0.373,0.457,0.757
0.723,0.474,0.511,0.585,0.454,0.397,0.448,0.753
0.701,0.462,0.54,0.565,0.447,0.419,0.439,0.756
0.682,0.444,0.567,0.543,0.435,0.441,0.435,0.754
0.685,0.411,0.567,0.527,0.403,0.445,0.451,0.744
0.695,0.381,0.557,0.518,0.374,0.441,0.47,0.756
0.715,0.368,0.526,0.527,0.356,0.421,0.491,0.76
0.74,0.368,0.491,0.545,0.351,0.396,0.508,0.758
0.767,0.369,0.458,0.561,0.346,0.372,0.524,0.757
0.783,0.379,0.495,0.555,0.358,0.385,0.504,0.759
0.777,0.379,0.534,0.54,0.363,0.407,0.489,0.758
0.776,0.379,0.574,0.525,0.367,0.428,0.474,0.762
0.783,0.378,0.615,0.51,0.37,0.448,0.462,0.76
0.825,0.379,0.642,0.506,0.371,0.453,0.458,0.759
